en,so,pos,description
Activate,"Falgeli, Falgelid",verb,
Activate,Falgelin,noun,
Anonymous,Dahsoon,noun,
Approve,Ansixi,verb,
Archive,Arkiifiyaha,noun,
Array,Teed,noun,
Attachment,Lifaaq,noun,
Audio,Maqal,noun,
Automatic,Iswad,adjective,
Background,Dibyaal,noun,
Banned,"La mamnuucay",noun,
Base,Sal,noun,
Bio,Mahadho,noun,
Bitrate,Xaddi-ineed,noun,"Xaddi + in. (in, sida in yar)"
Block,"Xayndaab, Xayndaabka",noun,
Blocks,"Xayndaabyo, Xayndaabyada",noun,
Blog,Balog,noun,
Boolean,Bool,noun,
Branch,"Laan, Laanta",noun,
Browser,Sahmiye,noun,
Button,Badhan,noun,
Cancel,Laal,verb,
Card,Kaar,noun,
Cards,"Kaarar, Kaararka",noun,
Categories,Khaanado,noun,
Category,Khaanad,noun,
Class,Need,noun,"Qaamuuska Ereybixinta ee Xisaabta, Wasaaradda Waxbarashada iyo Barbaarinta, Xafiiska Horumarinta Manaahijta, Muqdisho 1987"
Code,Afgarad,noun,
Column,"Joogutax, Dacal",noun,
Comment,Faallo,noun,
Comment,"Ka faallood",verb,
Committer,"Go'aamiye, Go'aamiyaha",noun,
Committers,"Go'aamiyayaal, Go'aamiyayaasha",noun,
Content,Dhigaal,noun,
Copy,Kareeb,noun,"Sida aan ka qoray Axmed Faaxac Cali ""Idaajaa""."
Copy,Kareeb,verb,"eeg Copy (n)"
Damage,Waxyeello,noun,
"Dark Mode","Habka Madow",noun,
Dashboard,"Jaafka Wadidda",noun,
Data,Xog,noun,
Database,Xoggunka,noun,
Default,Gabbaad,noun,"Wax lagu soo noqdo goorta wax kale oo la yeelo la garan waayo."
Define,"Qeex, Qeexid",verb,
Definition,Qeexaal,noun,
Delete,Tirtir,verb,"(ama; tir)"
Describe,"Sharax, Sharaxid",verb,
Description,Sharraxaad,noun,
Destination,Bartilmaameed,noun,
Destroy,Burburi,verb,
Developer,"Horumariye, Horumariyaha",noun,
Directory,"Gal, Galka",noun,
Do,Yeel,verb,
Done,Yeelan,verb,
Download,Rogidda,noun,
Download,"Rog, Rogid",verb,
Draft,Qabyo,noun,
Eject,Saar,verb,
Email,Emayl,noun,
Error,"Gef, Cillad",noun,"waxaad u adeegsan kolba halkaad joogto sida ku haboon"
Excerpt,"Arar, Ararta",noun,
Extension,"Kordhin, Kordhinta",noun,
Extensions,Kordhinno,noun,
FAQ,SBI,noun,"(FAQ) Frequently Asked Questions = (SBI) Su'aalaha Badanaa la Isweydiiyo"
Feedback,Falcelis,noun,
File,Fayl,noun,
Flagged,"La calansaaray",noun,
Float,Sabbeeye,noun,
"Font size","Cabbir khad",noun,
Footer,Cageeye,noun,
Format,Beeqaab,noun,
Forum,Madal,noun,
Frame,Idaar,noun,
Frame,"Idaar, Idaarid",verb,
Function,Fansaar,noun,
Guidelines,Tilmaamaha,noun,
Header,Madxiye,noun,
Heading,Cinwaan,noun,
Heght,"Joog, Jooga",noun,
Hide,Qari,noun,
Hint,Hagid,noun,
Home,Hoy,noun,
Horizontal,Jiifsan,noun,
Hostname,"Marti-magac, Marti-magaca",noun,
Icon,Astaan,noun,
Ink,Anqaas,noun,"""Anqaas - Hoore madow oo ka samaysan dhuxul, xabag, caano ama biyo isku riiqan oo ardada dugsiga Quraanka wax ku qortaan."" -- Annarita Puglielli iyo Cabdalla Cumar Mansuur, Qaamuuska Af Soomaaliga"
Install,"Rakib, Rakibid",verb,
Installation,Rakibaad,noun,
Integer,Abyoone,noun,
Interpretation,Laqbayn,noun,
Introduction,Hordhac,noun,
Keyword,Ereyfure,noun,
Leave,"Dhaaf, Dhaafid",verb,
License,Shati,noun,
List,Liis,noun,"Ka eeg Qaamuuska Af-Soomaaliga, Annarita Puglielli iyo Cabdalla Cumar Mansuur"
Load,Rar,noun,"Loading (rarmaya). Loaded (raran)."
Locale,"Carri, Carriga",noun,
Location,Goob,noun,
Logo,"Halhays, Halhayska",noun,
Loop,Galool,noun,
Media,"Maqal iyo Muuqaal, Meediya, Meediyaha",noun,
Memory,Xusuus,noun,
Menu,Taxmo,noun,
Message,Fariin,noun,
Mission,Hiigsi,noun,
Mute,Shib,noun,
Notes,Xusuusqor,noun,
Notification,Baraarujin,noun,
Null,Madhan,noun,
Object,Walax,noun,
Off,Damsan,noun,
Ok,Okay,expression,
Ok,Hagaag,expression,
On,Daaran,noun,
